STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
72,3008,1,G,3,1990-01-22,2.569,3.85,JPCUB,0.0,0.0,,16.8,0.0,0.0,,,,,9.9,1990,,,723008,0,26.1,1646.7,1976-05-01,PR
72,3008,1,G,3,1991-03-04,2.727,2.808,JPCUB,0.0,0.0,,16.8,0.0,0.0,,,,,9.9,1991,,,723008,0,26.1,1318.5,1976-05-01,PR
72,3008,1,G,3,1993-02-09,2.756,2.614,JPCUB,0.0,0.0,4.0,2.1,0.0,0.0,,,,,9.9,1993,,,723008,0,26.1,1472.7,1976-05-01,PR
72,3008,1,G,3,1994-03-14,2.82,2.826,JPCUB,0.0,0.0,4.0,3.9,0.0,0.0,,,,,9.9,1994,,,723008,0,25.9,1146.1,1976-05-01,PR
72,3008,1,G,3,1997-06-05,3.244,2.955,JPCUB,4.0,12.0,3.7,14.6,3.0,0.0,,,,,9.9,1997,,,723008,0,26.1,1322.9,1976-05-01,PR
72,3008,2,G,3,2003-11-04,3.798,4.352,JPCUB,24.0,32.0,0.3,10.8,8.0,0.0,,,,,9.9,2003,,,723008,0,26.6,2221.0,,PR
72,3008,2,G,3,2000-08-09,3.363,3.417,JPCUB,12.0,28.0,5.0,9.9,7.0,0.0,,,,,9.9,2000,,,723008,0,25.8,1519.3,,PR
72,4121,1,G,3,1991-02-28,3.768,4.378,JPCUB,54.0,71.0,,,18.0,0.0,,,,,10.2,1991,,,724121,0,25.0,1154.0,1986-06-01,PR
72,4121,1,G,3,1993-02-10,3.67,4.441,JPCUB,77.0,83.0,0.8,0.8,21.0,0.0,,,,,10.2,1993,,,724121,0,25.8,1127.6,1986-06-01,PR
72,4121,1,G,3,1990-01-18,3.751,4.535,JPCUB,54.0,67.0,,,17.0,0.0,,,,,10.2,1990,,,724121,0,25.4,1355.2,1986-06-01,PR
72,4121,2,G,3,1994-03-10,4.056,4.838,JPCUB,73.0,79.0,5.7,0.8,20.0,22.6,,,,,10.2,1994,,,724121,0,25.8,821.4,,PR
72,4121,2,G,3,1997-06-04,4.154,4.476,JPCUB,81.0,83.0,4.7,1.2,21.0,22.2,,,,,10.2,1997,,,724121,0,25.8,1081.0,,PR
72,4121,3,G,3,2000-08-11,4.436,5.524,JPCUB,81.0,87.0,0.9,2.4,22.0,21.6,,,,,10.2,2000,,,724121,0,25.0,1393.1,,PR
72,4121,4,G,3,2003-11-05,4.708,5.4,JPCUB,81.0,87.0,0.4,1.0,22.0,21.6,,,,,10.2,2003,,,724121,0,25.7,1887.3,,PR
