STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,PERCENT_FINER_02,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
38,3005,1,G,3,1989-10-24,1.326,1.29,JPCUB,,,,,,,,,,,8.0,12.0,,1989,,,383005,1937.0,3.0,343.0,1985-07-01,ND
38,3005,1,G,3,1989-10-24,1.335,1.373,JPCUB,,,,,,,,,,,8.0,12.0,,1989,,,383005,1937.0,3.0,343.0,1985-07-01,ND
38,3005,1,G,3,1989-10-24,1.333,1.363,JPCUB,,,,,,,,,,,8.0,12.0,,1989,,,383005,1937.0,3.0,343.0,1985-07-01,ND
38,3005,1,G,3,1989-10-24,1.373,1.402,JPCUB,,,,,,,,,,,8.0,12.0,,1989,,,383005,1937.0,3.0,343.0,1985-07-01,ND
38,3005,1,G,3,1989-10-24,1.319,1.346,JPCUB,,,,,,,,,,,8.0,12.0,,1989,,,383005,1937.0,3.0,343.0,1985-07-01,ND
38,3005,1,G,3,1990-11-30,1.351,1.376,JPCUB,,,,,,,,,,,8.0,12.0,,1990,,,383005,1217.0,4.9,403.5,1985-07-01,ND
38,3005,1,G,3,1990-11-30,1.301,1.364,JPCUB,,,,,,,,,,,8.0,12.0,,1990,,,383005,1217.0,4.9,403.5,1985-07-01,ND
38,3005,1,G,3,1990-11-30,1.362,1.41,JPCUB,,,,,,,,,,,8.0,12.0,,1990,,,383005,1217.0,4.9,403.5,1985-07-01,ND
38,3005,1,G,3,1990-11-30,1.371,1.363,JPCUB,,,,,,,,,,,8.0,12.0,,1990,,,383005,1217.0,4.9,403.5,1985-07-01,ND
38,3005,1,G,3,1990-11-30,1.346,1.381,JPCUB,,,,,,,,,,,8.0,12.0,,1990,,,383005,1217.0,4.9,403.5,1985-07-01,ND
38,3005,2,G,3,1991-07-19,0.828,0.771,JPCUB,,,,,,,,,,,8.0,,,1991,,138.0,383005,1393.0,4.6,642.8,,ND
38,3005,2,G,3,1991-07-19,0.79,0.789,JPCUB,,,,,,,,,,,8.0,,,1991,,138.0,383005,1393.0,4.6,642.8,,ND
38,3005,2,G,3,1991-07-19,0.796,0.803,JPCUB,,,,,,,,,,,8.0,,,1991,,138.0,383005,1393.0,4.6,642.8,,ND
38,3005,2,G,3,1991-07-19,0.82,0.767,JPCUB,,,,,,,,,,,8.0,,,1991,,138.0,383005,1393.0,4.6,642.8,,ND
38,3005,2,G,3,1991-07-19,0.806,0.778,JPCUB,,,,,,,,,,,8.0,,,1991,,138.0,383005,1393.0,4.6,642.8,,ND
38,3005,2,G,3,1992-08-31,1.083,1.163,JPCUB,,,,,,,,,,,8.0,,,1992,,54.0,383005,1278.0,3.7,391.1,,ND
38,3005,2,G,3,1992-08-31,1.116,1.137,JPCUB,,,,,,,,,,,8.0,,,1992,,54.0,383005,1278.0,3.7,391.1,,ND
38,3005,2,G,3,1992-08-31,1.077,1.157,JPCUB,,,,,,,,,,,8.0,,,1992,,54.0,383005,1278.0,3.7,391.1,,ND
38,3005,2,G,3,1992-08-31,1.104,1.165,JPCUB,,,,,,,,,,,8.0,,,1992,,54.0,383005,1278.0,3.7,391.1,,ND
38,3005,2,G,3,1992-08-31,1.072,1.172,JPCUB,,,,,,,,,,,8.0,,,1992,,54.0,383005,1278.0,3.7,391.1,,ND
38,3005,2,G,3,1993-06-11,1.049,1.074,JPCUB,0,0,-0.2,0.0,0,0.0,,,,,8.0,,,1993,,63.0,383005,1658.0,2.5,605.1,,ND
38,3005,2,G,3,1993-06-11,1.008,1.143,JPCUB,0,0,-0.2,0.0,0,0.0,,,,,8.0,,,1993,,63.0,383005,1658.0,2.5,605.1,,ND
38,3005,2,G,3,1993-06-11,1.082,1.124,JPCUB,0,0,-0.2,0.0,0,0.0,,,,,8.0,,,1993,,63.0,383005,1658.0,2.5,605.1,,ND
38,3005,2,G,3,1993-06-11,1.051,1.156,JPCUB,0,0,-0.2,0.0,0,0.0,,,,,8.0,,,1993,,63.0,383005,1658.0,2.5,605.1,,ND
38,3005,2,G,3,1993-06-11,1.044,1.131,JPCUB,0,0,-0.2,0.0,0,0.0,,,,,8.0,,,1993,,63.0,383005,1658.0,2.5,605.1,,ND
38,3005,2,G,3,1994-08-17,1.209,1.252,JPCUB,0,0,-0.2,0.0,0,0.0,,,,,8.0,,,1994,,,383005,1744.0,3.4,618.3,,ND
38,3005,2,G,3,1994-08-17,1.222,1.221,JPCUB,0,0,-0.2,0.0,0,0.0,,,,,8.0,,,1994,,,383005,1744.0,3.4,618.3,,ND
38,3005,2,G,3,1994-08-17,1.162,1.246,JPCUB,0,0,-0.2,0.0,0,0.0,,,,,8.0,,,1994,,,383005,1744.0,3.4,618.3,,ND
38,3005,2,G,3,1994-08-17,1.181,1.185,JPCUB,0,0,-0.2,0.0,0,0.0,,,,,8.0,,,1994,,,383005,1744.0,3.4,618.3,,ND
38,3005,2,G,3,1994-08-17,1.195,1.209,JPCUB,0,0,-0.2,0.0,0,0.0,,,,,8.0,,,1994,,,383005,1744.0,3.4,618.3,,ND
38,3005,2,G,3,1998-06-26,1.202,1.248,JPCUB,,,,,,,,,,,8.0,,,1998,,,383005,1227.0,5.5,497.0,,ND
38,3005,2,G,3,1998-06-26,1.2,1.226,JPCUB,,,,,,,,,,,8.0,,,1998,,,383005,1227.0,5.5,497.0,,ND
38,3005,2,G,3,1998-06-26,1.276,1.249,JPCUB,,,,,,,,,,,8.0,,,1998,,,383005,1227.0,5.5,497.0,,ND
