STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PERCENT_FINER_02,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
82,9017,1,G,2,1992-09-17,1.121,1.032,ACATB,4.0,1.0,6427.0,0.0,0.0,0.0,1.0,0.0,7,7,7,1.8,,1992,,,829017,477,6.2,401.8,1987-10-01,BC
82,9017,1,G,2,1992-09-17,1.151,1.03,ACATB,4.0,1.0,6427.0,0.0,0.0,0.0,1.0,0.0,7,7,7,1.8,,1992,,,829017,477,6.2,401.8,1987-10-01,BC
82,9017,1,G,2,1993-04-30,1.181,1.028,ACATB,4.0,1.0,6427.0,0.0,0.0,0.0,1.0,0.0,7,7,7,1.8,,1993,,,829017,795,4.4,411.5,1987-10-01,BC
82,9017,1,G,2,1992-09-17,1.142,1.04,ACATB,4.0,1.0,6427.0,0.0,0.0,0.0,1.0,0.0,7,7,7,1.8,,1992,,,829017,477,6.2,401.8,1987-10-01,BC
82,9017,1,G,2,1993-04-30,1.232,1.072,ACATB,4.0,1.0,6427.0,0.0,0.0,0.0,1.0,0.0,7,7,7,1.8,,1993,,,829017,795,4.4,411.5,1987-10-01,BC
82,9017,1,G,2,1993-04-30,1.183,1.024,ACATB,4.0,1.0,6427.0,0.0,0.0,0.0,1.0,0.0,7,7,7,1.8,,1993,,,829017,795,4.4,411.5,1987-10-01,BC
82,9017,1,G,2,1993-04-30,1.218,1.047,ACATB,4.0,1.0,6427.0,0.0,0.0,0.0,1.0,0.0,7,7,7,1.8,,1993,,,829017,795,4.4,411.5,1987-10-01,BC
82,9017,1,G,2,1992-09-17,1.143,1.035,ACATB,4.0,1.0,6427.0,0.0,0.0,0.0,1.0,0.0,7,7,7,1.8,,1992,,,829017,477,6.2,401.8,1987-10-01,BC
82,9017,2,G,2,1995-06-13,1.198,1.077,ACATB,,,,,,,,,10,10,9,1.8,,1995,,,829017,580,5.2,446.4,,BC
82,9017,2,G,2,1994-08-09,1.177,1.048,ACATB,,,,,,,,,10,10,9,1.8,,1994,,,829017,509,5.8,357.2,,BC
82,9017,2,G,2,1994-08-09,1.16,1.032,ACATB,,,,,,,,,10,10,9,1.8,,1994,,,829017,509,5.8,357.2,,BC
82,9017,2,G,2,1994-08-09,1.181,1.022,ACATB,,,,,,,,,10,10,9,1.8,,1994,,,829017,509,5.8,357.2,,BC
82,9017,2,G,2,1994-08-09,1.172,1.051,ACATB,,,,,,,,,10,10,9,1.8,,1994,,,829017,509,5.8,357.2,,BC
82,9017,2,G,2,1994-08-09,1.217,1.054,ACATB,,,,,,,,,10,10,9,1.8,,1994,,,829017,509,5.8,357.2,,BC
82,9017,2,G,2,1995-06-13,1.209,1.054,ACATB,,,,,,,,,10,10,9,1.8,,1995,,,829017,580,5.2,446.4,,BC
82,9017,2,G,2,1995-06-13,1.208,1.06,ACATB,,,,,,,,,10,10,9,1.8,,1995,,,829017,580,5.2,446.4,,BC
82,9017,2,G,2,1995-06-13,1.21,1.069,ACATB,,,,,,,,,10,10,9,1.8,,1995,,,829017,580,5.2,446.4,,BC
82,9017,2,G,2,1995-06-13,1.222,1.061,ACATB,,,,,,,,,10,10,9,1.8,,1995,,,829017,580,5.2,446.4,,BC
