STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
12,3804,1,G,3,1990-07-03,1.46,1.506,JPCTB,,,,,,,,,,,12.0,1990,,,123804,0,23.8,972.9,1985-07-01,FL
12,3804,1,G,3,1990-07-03,1.541,1.552,JPCTB,,,,,,,,,,,12.0,1990,,,123804,0,23.8,972.9,1985-07-01,FL
12,3804,1,G,3,1990-07-03,1.477,1.58,JPCTB,,,,,,,,,,,12.0,1990,,,123804,0,23.8,972.9,1985-07-01,FL
12,3804,1,G,3,1990-07-03,1.533,1.561,JPCTB,,,,,,,,,,,12.0,1990,,,123804,0,23.8,972.9,1985-07-01,FL
12,3804,1,G,3,1990-07-03,1.422,1.599,JPCTB,,,,,,,,,,,12.0,1990,,,123804,0,23.8,972.9,1985-07-01,FL
12,3804,1,G,3,1992-06-17,1.785,1.728,JPCTB,62,62.0,,0.0,16.0,0.0,,,,,12.0,1992,,781.0,123804,0,22.5,1239.1,1985-07-01,FL
12,3804,1,G,3,1992-06-17,1.805,1.72,JPCTB,62,62.0,,0.0,16.0,0.0,,,,,12.0,1992,,781.0,123804,0,22.5,1239.1,1985-07-01,FL
12,3804,1,G,3,1992-06-17,1.797,1.724,JPCTB,62,62.0,,0.0,16.0,0.0,,,,,12.0,1992,,781.0,123804,0,22.5,1239.1,1985-07-01,FL
12,3804,1,G,3,1992-06-17,1.853,1.722,JPCTB,62,62.0,,0.0,16.0,0.0,,,,,12.0,1992,,781.0,123804,0,22.5,1239.1,1985-07-01,FL
12,3804,1,G,3,1992-06-17,1.824,1.734,JPCTB,62,62.0,,0.0,16.0,0.0,,,,,12.0,1992,,781.0,123804,0,22.5,1239.1,1985-07-01,FL
12,3804,1,G,3,1994-09-01,2.143,1.812,JPCTB,,,,,,,,,,,12.0,1994,,664.0,123804,0,23.4,1395.6,1985-07-01,FL
12,3804,1,G,3,1994-09-01,2.167,1.804,JPCTB,,,,,,,,,,,12.0,1994,,664.0,123804,0,23.4,1395.6,1985-07-01,FL
