Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,0.14113650094909225,0.6395422158814988,0.47306259437766257,1.6657,,,1.4922855256048508,1.2113225670889116,structural_extended,1286,407
Random Forest,0.19953362742457081,0.6174171523205999,0.4618498991799744,2.4857,,,1.0,0.8117230558796314,structural_extended,1286,407
"ANN (MLP, Optuna-tuned)",0.03748131221257678,0.677035949295773,0.5008755853060736,2.0177,-0.14168930884302933,,1.2319472666897953,1.0,structural_extended,1286,407
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.1870709918900273,0.6222049399200756,0.4663389495616142,1.7129,0.15978499410480365,0.10364336381511004,1.4511646914589293,1.1779438379356646,structural_extended,1286,407
