Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,-0.31475935129842303,0.525671929208704,0.406929464691849,0.0141,,,37.680851063829785,33.5886524822695,no_traffic_lte,313,90
Random Forest,-0.22495346597188703,0.5074011504696397,0.34487632500000015,0.5313,,,1.0,0.8913984566158479,no_traffic_lte,313,90
"ANN (MLP, Optuna-tuned)",-1.4737728879075611,0.7210602667304693,0.5033758558322416,0.4736,-0.8751631709751119,,1.1218327702702702,1.0,no_traffic_lte,313,90
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.2435211193303577,0.3987402309990437,0.28546630932053696,0.0278,0.08224123607215986,0.29036240802685714,19.111510791366907,17.035971223021583,no_traffic_lte,313,90
