Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_ANN,Speedup_vs_RF
MEPDG-style Linear Regression,0.16243602028782056,0.6315622164853957,0.46613367957502205,0.0042,,,105.1904761904762,110.57142857142857
Random Forest,0.20050241340840502,0.6170434163375867,0.4566257640200454,0.4644,,,0.9513350559862189,1.0
ANN (MLP),0.008686638432580662,0.6870884123677402,0.5303223304803685,0.4418,,,1.0,1.0511543684925304
Gradient-Boosted Ensemble (LightGBM),0.2538842384516651,0.5960878250680041,0.44510613198467447,0.1132,0.15278254162994998,0.09471170564331502,3.902826855123675,4.102473498233215
