Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,-0.49943658315367934,0.5613784065117945,0.44185012303333565,0.1532,,,3.359660574412533,3.8942558746736293,structural_extended,313,90
Random Forest,-0.19565679265297042,0.5012967856543903,0.3577218166666668,0.5147,,,1.0,1.159121818535069,structural_extended,313,90
"ANN (MLP, Optuna-tuned)",-1.3906401588774076,0.7088408823442124,0.523451118477381,0.5966,-1.3688847261159593,,0.8627220918538384,1.0,structural_extended,313,90
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.15045416479843865,0.4225567657080442,0.306654124596992,0.1657,0.06897622353114978,0.18327858494701493,3.106216053108027,3.6004828002414007,structural_extended,313,90
