Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,-0.4482948559169415,0.551721802298911,0.42536848203601463,0.1206,,,3.8275290215588726,5.276119402985074,structural,313,90
Random Forest,-0.1708354939185246,0.4960661486531514,0.33646419999999977,0.4616,,,1.0,1.3784662045060658,structural,313,90
"ANN (MLP, Optuna-tuned)",-1.2259007157681787,0.6839818015016395,0.4790224139844606,0.6363,-0.5020840753164615,,0.7254439729687255,1.0,structural,313,90
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.22625153530285802,0.40326594876085464,0.2840034205847856,0.2023,0.06637407210081755,0.24587899696083354,2.281759762728621,3.145328719723183,structural,313,90
