Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,0.2019589000427735,0.5770039454855782,0.4581368247342631,1.0999,,,1.660969179016274,3.298208928084371,structural_extended,1317,235
Random Forest,0.3272279437908169,0.5297855709724143,0.40236185363475213,1.8269,,,1.0,1.985713503749521,structural_extended,1317,235
"ANN (MLP, Optuna-tuned)",0.21924750134703364,0.570719675334864,0.4422889090212925,3.6277,0.07708322073243545,,0.5035973206163685,1.0,structural_extended,1317,235
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.3464596392167917,0.5221585098767649,0.39162205880917605,1.1141,0.17144992987285973,0.13949579926574468,1.6397989408491158,3.256170900278251,structural_extended,1317,235
