Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,0.35884392239083807,0.5207883432896467,0.34561461506942653,0.7639,,,1.9214556879172666,1.20172797486582,operational_lagged,851,285
Random Forest,0.34623996418213154,0.5258823047592034,0.33617864745912995,1.4678,,,1.0,0.6254258073306991,operational_lagged,851,285
"ANN (MLP, Optuna-tuned)",0.4681123065170858,0.4743395576474878,0.3491978042912683,0.918,0.4958542101847011,,1.5989106753812636,1.0,operational_lagged,851,285
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.43133217612432173,0.4904657679452562,0.32386932799523527,0.8527,0.5738650534670088,0.1174107557401407,1.7213556936789023,1.0765802744224229,operational_lagged,851,285
