Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_ANN,Speedup_vs_RF
MEPDG-style Linear Regression,0.20119153597884665,0.5772812906660076,0.45854364354320126,0.0071,,,55.0,77.28169014084506
Random Forest,0.3180345196174881,0.5333930463206793,0.4188813062943266,0.5487,,,0.7116821578275926,1.0
ANN (MLP),0.17556944132252716,0.5864664792342789,0.45316969005877406,0.3905,,,1.0,1.4051216389244556
Gradient-Boosted Ensemble (LightGBM),0.33316792219492597,0.5274416182399945,0.39872368087267135,0.124,0.1901336305398583,0.10851217857670192,3.149193548387097,4.425
