Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,0.37092654719343543,0.39632986277960497,0.2686218274440307,1.1781,,,1.5621763857057975,0.8597742127153891,operational_lagged,1103,384
Random Forest,0.3815879456125242,0.3929570556741938,0.2477541043103547,1.8404,,,1.0,0.550369484894588,operational_lagged,1103,384
"ANN (MLP, Optuna-tuned)",0.13686800150841727,0.4642423185005284,0.3334972754721308,1.0129,0.15103185937241728,,1.8169612005133777,1.0,operational_lagged,1103,384
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.39135000903458417,0.3898431681652392,0.258768741974525,0.5444,0.5696274774404055,0.12466694126639104,3.3806024981631153,1.8605804555473915,operational_lagged,1103,384
