Dataset,N_records,N_sections,N_states,IRI_mean,IRI_sd,IRI_min,IRI_max,Age_mean_yr
Flexible (GPS-1/2),1552,208,55,1.56,0.66,0.32,5.54,10.13
Rigid (GPS-3/4/5/6/9),1693,179,46,1.74,0.66,0.54,5.12,13.12
